Date,Open,High,Low,Close,Volume,ROE,PBR,PER,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
2014-01-02,236500,238000,224500,224500,720748,17.8,1.2,6.9,,,,,,,,,,,,,,,,,,,,,0.0,0.060133630289532294,0.0,0.0,0.0
2014-01-03,226500,228000,222500,224000,572466,17.8,1.2,6.9,,,,,,,,,,,,,,,,,,,,,0.008908685968819599,0.017857142857142856,-0.006696428571428571,-0.0022271714922048997,-0.20573348798747967
2014-01-06,224000,231000,222500,228500,669198,17.8,1.2,6.9,,,,,,,,,,,,,,,,,,,,,0.0,0.010940919037199124,-0.0262582056892779,0.020089285714285716,0.16897422729035436
2014-01-07,232000,232000,228500,229000,464556,17.8,1.2,6.9,,,,,,,,,,,,,,,,,,,,,0.015317286652078774,0.013100436681222707,-0.002183406113537118,0.002188183807439825,-0.30580187029847666
2014-01-08,230000,231500,228500,229500,242741,17.8,1.2,6.9,227100.0,533941.8,0.010568031704095112,-0.5453792904020626,,,,,,,,,,,,,,,,,0.004366812227074236,0.008714596949891068,-0.004357298474945534,0.002183406113537118,-0.47747741929928794
2014-01-09,228500,231500,224500,224500,353670,17.8,1.2,6.9,227100.0,460526.2,-0.011448701012769706,-0.23203066405342412,,,,,,,,,,,,,,,,,-0.004357298474945534,0.031180400890868598,0.0,-0.02178649237472767,0.4569850169522248
2014-01-10,224000,224500,219000,221000,427325,17.8,1.2,6.9,226500.0,431498.0,-0.024282560706401765,-0.009670960236200399,,,,,,,,,,,,,,,,,-0.0022271714922048997,0.01583710407239819,-0.00904977375565611,-0.015590200445434299,0.20825911160121016
2014-01-13,221500,231000,221500,228000,406080,17.8,1.2,6.9,226400.0,378874.4,0.007067137809187279,0.07180638227338658,,,,,,,,,,,,,,,,,0.0022624434389140274,0.013157894736842105,-0.02850877192982456,0.03167420814479638,-0.049716258117357984
2014-01-14,231500,238000,231000,232000,723928,17.8,1.2,6.9,227000.0,430748.8,0.022026431718061675,0.6806268525878656,,,,,,,,,,,,,,,,,0.015350877192982455,0.02586206896551724,-0.004310344827586207,0.017543859649122806,0.7827226162332546
2014-01-15,235000,236000,230000,231000,358668,17.8,1.2,6.9,227300.0,453934.2,0.01627804663440387,-0.2098678619059767,227200.0,493938.0,0.016725352112676055,-0.2738602820596917,,,,,,,,,,,,,0.01293103448275862,0.021645021645021644,-0.004329004329004329,-0.004310344827586207,-0.504552938966306
2014-01-16,231000,235000,230500,233000,277244,17.8,1.2,6.9,229000.0,438649.0,0.017467248908296942,-0.3679593479068686,228050.0,449587.6,0.02170576627932471,-0.38333708491960183,,,,,,,,,,,,,0.0,0.008583690987124463,-0.01072961373390558,0.008658008658008658,-0.2270177434284631
2014-01-17,232000,233000,228500,228500,333046,17.8,1.2,6.9,230500.0,419793.2,-0.008676789587852495,-0.20664269931004126,228500.0,425645.6,0.0,-0.21755093909111237,,,,,,,,,,,,,-0.004291845493562232,0.019693654266958426,0.0,-0.019313304721030045,0.20127396805701836
2014-01-20,230000,232000,227000,231000,219229,17.8,1.2,6.9,231100.0,382423.0,-0.00043271311120726956,-0.4267368855952702,228750.0,380648.7,0.009836065573770493,-0.42406476102506063,,,,,,,,,,,,,0.006564551422319475,0.004329004329004329,-0.017316017316017316,0.010940919037199124,-0.34174558469400623
2014-01-21,231500,237000,229500,236000,425513,17.8,1.2,6.9,231900.0,322740.0,0.017680034497628287,0.31843899113837765,229450.0,376744.4,0.028546524297232513,0.12944744500515462,,,,,,,,,,,,,0.0021645021645021645,0.00423728813559322,-0.02754237288135593,0.021645021645021644,0.9409521550524794
2014-01-22,234500,238000,233500,236500,301292,17.8,1.2,6.9,233000.0,311264.8,0.015021459227467811,-0.03203960100853032,230150.0,382599.5,0.027590701716271995,-0.21251334620144563,,,,,,,,,,,,,-0.006355932203389831,0.006342494714587738,-0.012684989429175475,0.00211864406779661,-0.29193232639190814
2014-01-23,235500,236500,231500,232000,380995,17.8,1.2,6.9,232800.0,332015.0,-0.003436426116838488,0.14752345526557534,230900.0,385332.0,0.004763967085318319,-0.01125522925684864,,,,,,,,,,,,,-0.004228329809725159,0.01939655172413793,-0.0021551724137931034,-0.019027484143763214,0.2645373922971735
2014-01-24,230000,230500,221500,228000,1188198,17.8,1.2,6.9,232700.0,503045.4,-0.02019767941555651,1.3620094727036565,231600.0,461419.3,-0.015544041450777202,1.5750938463128872,,,,,,,,,,,,,-0.008620689655172414,0.010964912280701754,-0.02850877192982456,-0.017241379310344827,2.1186708486988017
