Date,Open,High,Low,Close,Volume,ROE,PBR,PER,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
2014-01-02,162000,162500,160500,160500,42342,8.6,0.9,10.7,,,,,,,,,,,,,,,,,,,,,0.0,0.012461059190031152,0.0,0.0,0.0
2014-01-03,159500,160500,154000,156500,55492,8.6,0.9,10.7,,,,,,,,,,,,,,,,,,,,,-0.006230529595015576,0.025559105431309903,-0.01597444089456869,-0.024922118380062305,0.31056634074913797
2014-01-06,156500,158500,154500,156500,33702,8.6,0.9,10.7,,,,,,,,,,,,,,,,,,,,,0.0,0.012779552715654952,-0.012779552715654952,0.0,-0.3926692135803359
2014-01-07,156500,158500,156500,157000,31152,8.6,0.9,10.7,,,,,,,,,,,,,,,,,,,,,0.0,0.009554140127388535,-0.0031847133757961785,0.003194888178913738,-0.075663165390778
2014-01-08,157000,158000,154500,155500,43023,8.6,0.9,10.7,157200.0,41142.2,-0.010814249363867684,0.04571461905294328,,,,,,,,,,,,,,,,,0.0,0.01607717041800643,-0.006430868167202572,-0.009554140127388535,0.38106702619414484
2014-01-09,155500,157000,154000,154000,47209,8.6,0.9,10.7,155900.0,42115.6,-0.012187299550994226,0.12093855958362226,,,,,,,,,,,,,,,,,0.0,0.01948051948051948,0.0,-0.00964630225080386,0.09729679473769844
2014-01-10,155000,156000,152500,154500,34759,8.6,0.9,10.7,155500.0,37969.0,-0.006430868167202572,-0.08454265321709815,,,,,,,,,,,,,,,,,0.006493506493506494,0.009708737864077669,-0.012944983818770227,0.003246753246753247,-0.26372090067571863
2014-01-13,154000,155500,152000,153000,66108,8.6,0.9,10.7,154800.0,44450.2,-0.011627906976744186,0.48723740275634314,,,,,,,,,,,,,,,,,-0.003236245954692557,0.016339869281045753,-0.006535947712418301,-0.009708737864077669,0.9018959118501683
2014-01-14,152000,153500,149000,150500,71243,8.6,0.9,10.7,153500.0,52468.4,-0.019543973941368076,0.35782680623003554,,,,,,,,,,,,,,,,,-0.006535947712418301,0.019933554817275746,-0.009966777408637873,-0.016339869281045753,0.07767592424517457
2014-01-15,150500,152500,148000,149500,78348,8.6,0.9,10.7,152300.0,59533.4,-0.018384766907419567,0.31603436054382916,154750.0,50337.8,-0.033925686591276254,0.5564446598778651,,,,,,,,,,,,,0.0,0.020066889632107024,-0.010033444816053512,-0.006644518272425249,0.09972909619190658
2014-01-16,150000,152000,149500,150000,41126,8.6,0.9,10.7,151500.0,58316.8,-0.009900990099009901,-0.2947829784899035,153700.0,50216.2,-0.024072869225764477,-0.18102126405422947,,,,,,,,,,,,,0.0033444816053511705,0.013333333333333334,-0.0033333333333333335,0.0033444816053511705,-0.4750855159034053
2014-01-17,149500,151500,149500,150000,27135,8.6,0.9,10.7,150600.0,56792.0,-0.00398406374501992,-0.5222038315255669,153050.0,47380.5,-0.0199281280627246,-0.42729603950992495,,,,,,,,,,,,,-0.0033333333333333335,0.01,-0.0033333333333333335,0.0,-0.3401984146282157
2014-01-20,150000,151000,146500,148500,55293,8.6,0.9,10.7,149700.0,54629.0,-0.008016032064128256,0.012154716359442787,152250.0,49539.6,-0.024630541871921183,0.11613739311581041,,,,,,,,,,,,,0.0,0.016835016835016835,-0.013468013468013467,-0.01,1.0377003869541184
2014-01-21,148000,149000,146000,147000,61286,8.6,0.9,10.7,149000.0,52637.6,-0.013422818791946308,0.1643008039880238,151250.0,52553.0,-0.02809917355371901,0.1661750994234392,,,,,,,,,,,,,-0.003367003367003367,0.013605442176870748,-0.006802721088435374,-0.010101010101010102,0.10838623333875898
2014-01-22,148000,150500,147000,148000,75048,8.6,0.9,10.7,148700.0,51977.6,-0.004707464694014795,0.44385273656344276,150500.0,55755.5,-0.016611295681063124,0.3460196751889948,,,,,,,,,,,,,0.006802721088435374,0.016891891891891893,-0.006756756756756757,0.006802721088435374,0.22455373168423456
2014-01-23,148500,148500,145000,145500,106049,8.6,0.9,10.7,147800.0,64962.2,-0.015561569688768605,0.6324724224241175,149650.0,61639.5,-0.027731373204143,0.7204714509364937,,,,,,,,,,,,,0.0033783783783783786,0.020618556701030927,-0.003436426116838488,-0.016891891891891893,0.4130822939985076
2014-01-24,144500,145500,141000,143500,100796,8.6,0.9,10.7,146500.0,79694.4,-0.020477815699658702,0.2647814651970528,148550.0,68243.2,-0.03399528778189162,0.47701162899746796,,,,,,,,,,,,,-0.006872852233676976,0.013937282229965157,-0.017421602787456445,-0.013745704467353952,-0.049533706116983656
2014-01-27,141000,142500,138500,142000,90114,8.6,0.9,10.7,145200.0,86658.6,-0.02203856749311295,0.03987371132236147,147450.0,70643.8,-0.036961681926076635,0.2756108816343401,,,,,,,,,,,,,-0.017421602787456445,0.0035211267605633804,-0.02464788732394366,-0.010452961672473868,-0.1059764276360173
2014-01-28,143000,145000,140500,143500,60398,8.6,0.9,10.7,144500.0,86481.0,-0.006920415224913495,-0.3016038204923625,146750.0,69559.3,-0.022146507666098807,-0.1317048906472607,,,,,,,,,,,,,0.007042253521126761,0.010452961672473868,-0.020905923344947737,0.01056338028169014,-0.32976008167432364
2014-01-29,143500,145500,142000,144000,45148,8.6,0.9,10.7,143700.0,80501.0,0.0020876826722338203,-0.43916224643172136,146200.0,66239.3,-0.015047879616963064,-0.31841067161035824,150475.0,58288.55,-0.04303040372154843,-0.22543964466434663,,,,,,,,,0.0,0.010416666666666666,-0.013888888888888888,0.003484320557491289,-0.2524918043643829
2014-02-03,144500,145000,142500,143500,30335,8.6,0.9,10.7,143300.0,65358.2,0.0013956734124214933,-0.535865430810518,145550.0,65160.2,-0.014084507042253521,-0.5344550814761158,149625.0,57688.2,-0.04093567251461988,-0.4741558932329315,,,,,,,,,0.003472222222222222,0.010452961672473868,-0.006968641114982578,-0.003472222222222222,-0.3280986976167272
2014-02-04,141500,142000,138500,141500,70222,8.6,0.9,10.7,142900.0,59243.4,-0.00979706088173548,0.18531346951727953,144700.0,69468.9,-0.0221147201105736,0.010840822296020318,148875.0,58424.7,-0.04953820319059614,0.20192315921177179,,,,,,,,,-0.013937282229965157,0.0035335689045936395,-0.02120141342756184,-0.013937282229965157,1.3148837975935388
2014-02-05,142500,143500,140500,143000,35069,8.6,0.9,10.7,143100.0,48234.4,-0.0006988120195667365,-0.2729462790041962,144150.0,67446.5,-0.007977800901838363,-0.4800471484806476,148200.0,58493.05,-0.03508771929824561,-0.400458686972213,,,,,,,,,0.007067137809187279,0.0034965034965034965,-0.017482517482517484,0.01060070671378092,-0.5005981031585544
2014-02-06,142000,143000,140000,141000,43786,8.6,0.9,10.7,142600.0,44912.0,-0.011220196353436185,-0.025071250445315284,143550.0,65696.5,-0.017763845350052248,-0.33351091762879304,147400.0,59124.75,-0.04341926729986431,-0.2594302724324416,,,,,,,,,-0.006993006993006993,0.014184397163120567,-0.0070921985815602835,-0.013986013986013986,0.24856711055348027
2014-02-07,140500,141000,135500,137500,103138,8.6,0.9,10.7,141300.0,56510.0,-0.02689313517338995,0.825128295876836,142500.0,68505.5,-0.03508771929824561,0.5055433505338988,146500.0,62130.5,-0.06143344709897611,0.6600220503617386,,,,,,,,,-0.0035460992907801418,0.025454545454545455,-0.014545454545454545,-0.024822695035460994,1.355501758552962
2014-02-10,137000,139000,136000,137000,70610,8.6,0.9,10.7,140000.0,64565.0,-0.02142857142857143,0.09362657786726554,141650.0,64961.6,-0.032827391457818565,0.08694982882195022,145650.0,63300.55,-0.059388946103673186,0.11547214044743682,,,,,,,,,-0.0036363636363636364,0.014598540145985401,-0.0072992700729927005,-0.0036363636363636364,-0.3153832728965076
2014-02-11,137500,140000,137000,138500,59415,8.6,0.9,10.7,139400.0,62403.6,-0.006456241032998565,-0.0478914677999346,141150.0,60823.5,-0.0187743535246192,-0.023157167870970923,144850.0,64533.35,-0.043838453572661376,-0.07931325430959339,,,,,,,,,0.0036496350364963502,0.010830324909747292,-0.010830324909747292,0.010948905109489052,-0.15854694802435915
2014-02-12,138000,140000,137000,139500,49242,8.6,0.9,10.7,138700.0,65238.2,0.005767844268204758,-0.24519683253063385,140900.0,56736.3,-0.0099361249112846,-0.13209003759497892,144175.0,63690.05,-0.03242587133691694,-0.2268494058334073,,,,,,,,,-0.0036101083032490976,0.0035842293906810036,-0.017921146953405017,0.007220216606498195,-0.1712193890431709
2014-02-13,140000,140000,137000,138000,44967,8.6,0.9,10.7,138100.0,65474.4,-0.000724112961622013,-0.3132124922106961,140350.0,55193.2,-0.016743854649091557,-0.18528007073335118,143550.0,62376.25,-0.038662486938349006,-0.2791006192260676,,,,,,,,,0.0035842293906810036,0.014492753623188406,-0.007246376811594203,-0.010752688172043012,-0.08681613256975752
2014-02-14,137500,140000,137500,138500,58068,8.6,0.9,10.7,138300.0,56460.4,0.0014461315979754157,0.028473053680101425,139800.0,56485.2,-0.009298998569384835,0.028021499437020723,143000.0,61362.25,-0.03146853146853147,-0.05368528696389067,,,,,,,,,-0.0036231884057971015,0.010830324909747292,-0.007220216606498195,0.0036231884057971015,0.2913469877910468
2014-02-17,140000,143000,139000,142000,120615,8.6,0.9,10.7,139300.0,66461.4,0.019382627422828428,0.8148128086377959,139650.0,65513.2,0.016827783745076978,0.8410793550002138,142600.0,65336.7,-0.004207573632538569,0.8460528309510582,,,,,,,,,0.010830324909747292,0.007042253521126761,-0.02112676056338028,0.02527075812274368,1.0771337053110146
