,Unnamed: 0,Date,Open,High,Low,Close,Volume,ROE,PER,PBR,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
0,0,2014-01-02,232000,232500,228000,228000,125260,12.88,12.01,1.3,,,,,,,,,,,,,,,,,,,,,0.0,0.019736842105263157,0.0,0.0,0.0
1,1,2014-01-03,226500,228000,225000,226500,123479,12.88,12.01,1.3,,,,,,,,,,,,,,,,,,,,,-0.006578947368421052,0.006622516556291391,-0.006622516556291391,-0.006578947368421052,-0.014218425674596838
2,2,2014-01-06,223500,228000,223500,228000,92521,12.88,12.01,1.3,,,,,,,,,,,,,,,,,,,,,-0.013245033112582781,0.0,-0.019736842105263157,0.006622516556291391,-0.25071469642611294
3,3,2014-01-07,229000,229500,224000,229000,210585,12.88,12.01,1.3,,,,,,,,,,,,,,,,,,,,,0.0043859649122807015,0.002183406113537118,-0.021834061135371178,0.0043859649122807015,1.276077863403984
4,4,2014-01-08,231500,231500,224500,228500,211513,12.88,12.01,1.3,228000.0,152671.6,0.0021929824561403508,0.38541156311979435,,,,,,,,,,,,,,,,,0.010917030567685589,0.01312910284463895,-0.0175054704595186,-0.002183406113537118,0.00440677161241304
5,5,2014-01-09,226500,229000,223500,225000,225708,12.88,12.01,1.3,227400.0,172761.2,-0.010554089709762533,0.3064739073356748,,,,,,,,,,,,,,,,,-0.0087527352297593,0.017777777777777778,-0.006666666666666667,-0.015317286652078774,0.06711171417359689
6,6,2014-01-10,223500,225500,220000,222000,178172,12.88,12.01,1.3,226500.0,183699.8,-0.019867549668874173,-0.030091486218275624,,,,,,,,,,,,,,,,,-0.006666666666666667,0.015765765765765764,-0.009009009009009009,-0.013333333333333334,-0.21060839668952805
7,7,2014-01-13,224500,226500,219000,226000,142866,12.88,12.01,1.3,226100.0,193768.8,-0.0004422821760283061,-0.2626986387901457,,,,,,,,,,,,,,,,,0.01126126126126126,0.0022123893805309734,-0.030973451327433628,0.018018018018018018,-0.1981568372134791
8,8,2014-01-14,226000,228500,225000,227500,122598,12.88,12.01,1.3,225800.0,176171.4,0.007528786536758193,-0.30409816803408496,,,,,,,,,,,,,,,,,0.0,0.004395604395604396,-0.01098901098901099,0.00663716814159292,-0.14186720423333754
9,9,2014-01-15,226500,231000,226000,228500,117584,12.88,12.01,1.3,225800.0,157385.6,0.011957484499557131,-0.2528922595205661,226900.0,155028.6,0.007051564565888057,-0.24153349769010365,,,,,,,,,,,,,-0.004395604395604396,0.010940919037199124,-0.010940919037199124,0.004395604395604396,-0.04089789392975415
10,10,2014-01-16,228000,228000,226000,226500,136370,12.88,12.01,1.3,226100.0,139518.0,0.0017691287041132243,-0.022563396837684026,226750.0,156139.6,-0.0011025358324145535,-0.12661490102446787,,,,,,,,,,,,,-0.002188183807439825,0.006622516556291391,-0.002207505518763797,-0.0087527352297593,0.15976663491631515
