date,open,high,low,close,volume,roe,per,pbr,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio,Date,SA,economics,IT,finance,social,politics
2014-01-02,277500,281000,276000,279500,101630,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,0.0,0.005366726296959,-0.012522361359571002,0.0,0.0,2014-01-02,,0,0,0,0,1
2014-01-02,277500,281000,276000,279500,101630,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,0.0,0.005366726296959,-0.012522361359571002,0.0,0.0,2014-01-02,,1,0,0,0,0
2014-01-02,277500,281000,276000,279500,101630,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,0.0,0.005366726296959,-0.012522361359571002,0.0,0.0,2014-01-02,,0,1,0,0,0
2014-01-02,277500,281000,276000,279500,101630,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,0.0,0.005366726296959,-0.012522361359571002,0.0,0.0,2014-01-02,,0,0,1,0,0
2014-01-02,277500,281000,276000,279500,101630,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,0.0,0.005366726296959,-0.012522361359571002,0.0,0.0,2014-01-02,,0,0,0,1,0
2014-01-03,278000,280000,274500,278500,78910,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,-0.005366726296959,0.005385996409335999,-0.014362657091562,-0.0035778175313059997,-0.22355603660336498,2014-01-03,,0,0,0,0,1
2014-01-03,278000,280000,274500,278500,78910,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,-0.005366726296959,0.005385996409335999,-0.014362657091562,-0.0035778175313059997,-0.22355603660336498,2014-01-03,,1,0,0,0,0
2014-01-03,278000,280000,274500,278500,78910,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,-0.005366726296959,0.005385996409335999,-0.014362657091562,-0.0035778175313059997,-0.22355603660336498,2014-01-03,,0,1,0,0,0
2014-01-03,278000,280000,274500,278500,78910,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,-0.005366726296959,0.005385996409335999,-0.014362657091562,-0.0035778175313059997,-0.22355603660336498,2014-01-03,,0,0,1,0,0
2014-01-03,278000,280000,274500,278500,78910,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,-0.005366726296959,0.005385996409335999,-0.014362657091562,-0.0035778175313059997,-0.22355603660336498,2014-01-03,,0,0,0,1,0
2014-01-06,277000,278000,272500,277000,42426,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,-0.005385996409335999,0.003610108303249,-0.016245487364621,-0.005385996409335999,-0.462349512102395,2014-01-06,,0,0,0,0,1
2014-01-06,277000,278000,272500,277000,42426,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,-0.005385996409335999,0.003610108303249,-0.016245487364621,-0.005385996409335999,-0.462349512102395,2014-01-06,,1,0,0,0,0
2014-01-06,277000,278000,272500,277000,42426,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,-0.005385996409335999,0.003610108303249,-0.016245487364621,-0.005385996409335999,-0.462349512102395,2014-01-06,,0,1,0,0,0
2014-01-06,277000,278000,272500,277000,42426,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,-0.005385996409335999,0.003610108303249,-0.016245487364621,-0.005385996409335999,-0.462349512102395,2014-01-06,,0,0,1,0,0
2014-01-06,277000,278000,272500,277000,42426,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,-0.005385996409335999,0.003610108303249,-0.016245487364621,-0.005385996409335999,-0.462349512102395,2014-01-06,,0,0,0,1,0
2014-01-07,274000,277000,273000,275500,49898,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,-0.010830324909747,0.005444646098004001,-0.009074410163339,-0.005415162454874001,0.176118417951256,2014-01-07,,0,0,0,0,1
2014-01-07,274000,277000,273000,275500,49898,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,-0.010830324909747,0.005444646098004001,-0.009074410163339,-0.005415162454874001,0.176118417951256,2014-01-07,,1,0,0,0,0
2014-01-07,274000,277000,273000,275500,49898,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,-0.010830324909747,0.005444646098004001,-0.009074410163339,-0.005415162454874001,0.176118417951256,2014-01-07,1.0,0,1,0,0,0
2014-01-07,274000,277000,273000,275500,49898,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,-0.010830324909747,0.005444646098004001,-0.009074410163339,-0.005415162454874001,0.176118417951256,2014-01-07,,0,0,1,0,0
2014-01-07,274000,277000,273000,275500,49898,8.6,22.2,1.1,,,,,,,,,,,,,,,,,,,,,-0.010830324909747,0.005444646098004001,-0.009074410163339,-0.005415162454874001,0.176118417951256,2014-01-07,,0,0,0,1,0
