,Date,Category,Title
116,2014-01-14,4,[디트로이트 모터쇼]현대기아차 美 부진 딛고 '승부수'…프리미엄 투톱 떴다
117,2014-01-14,4,車가 茶에 빠지다…기아차 까페
118,2014-01-14,4,[포토]'세계 최초공개' 기아차 콘셉트카 내부 살펴보니
119,2014-01-14,4,[포토]디트로이트 모터쇼서 첫 공개된 기아차 콘셉트카
120,2014-01-14,4,"[포토]기아차 GT4 스팅어, 세계 첫 공개"
121,2014-01-14,4,[디트로이트 모터쇼]기아차 콘셉트카 'GT4 스팅어' 첫 공개
122,2014-01-14,5,"코스피, 外人·기관 동반 매수에 상승 전환…1950선 회복"
123,2014-01-14,5,"코스피, 외국인 '팔자'전환에 약보합…1940선 후퇴"
124,2014-01-14,5,"코스피, 기관·外人 동반 '팔자' 약세지속"
125,2014-01-14,6,
126,2014-01-14,7,
127,2014-01-14,8,
128,2014-01-14,9,
129,2014-01-14,10,
130,2014-01-14,11,
131,2014-01-15,2,
132,2014-01-15,3,
133,2014-01-15,4,"전경련, 한국형 동반성장모델 확산 제안"
134,2014-01-15,4,지난해 수출 1위 차종은 엑센트…아반떼·프라이드 제쳐
135,2014-01-15,5,"코스피, 기관·外人 동반 '팔자'에도 강세…電↓"
136,2014-01-15,5,"""현대모비스, 영업이익 재성장 주가상승 이어질 전망""<삼성證>"
137,2014-01-15,5,"코스피, 美 경제지표 호조에 상승..1950선 회복"
138,2014-01-15,6,
139,2014-01-15,7,
140,2014-01-15,8,
141,2014-01-15,9,
142,2014-01-15,10,
143,2014-01-15,11,
144,2014-01-16,2,
145,2014-01-16,3,
146,2014-01-16,4,내년 자동차 2000만대 시대 진입…가장 많은차 '쏘나타'
147,2014-01-16,4,현대기아 '수출효자'된 사우디
148,2014-01-16,4,"현대·기아차, 러시아 新車시장서 '나홀로 성장세'"
149,2014-01-16,4,현대엔지니어링-현대엠코 합병…주요주주 지분율 변화는?
150,2014-01-16,5,"SK證, ELB 공모"
151,2014-01-16,5,"기관 '사자' 전환, 코스피 1950 강보합…삼성電 상승반전"
152,2014-01-16,5,"투자자 짙은 관망, 코스피 1950선 강보합권 '정체'"
153,2014-01-16,5,"""좁은 박스 갇힌 코스피"", 강보합 마감…1950선"
154,2014-01-16,6,현대차에 무슨 일이? 지난해 리콜 63배 증가
155,2014-01-16,7,현대차 유럽시장 판매량 2.2% 줄어
156,2014-01-16,8,
157,2014-01-16,9,
158,2014-01-16,10,
159,2014-01-16,11,
160,2014-01-17,2,
161,2014-01-17,3,
162,2014-01-17,4,"급해진 현대기아차…정의선, 오늘 유럽행"
163,2014-01-17,4,"현대기아차, 유럽서도 5년만의 역성장"
164,2014-01-17,5,"노무라금융투자, ELW 77종목 신규상장"
165,2014-01-17,5,"코스피, 1950선 보합권 등락…투자자 '뒷짐'"
166,2014-01-17,5,"코스피, 보합권 '혼조'…'外人vs기관' 매매공방"
167,2014-01-17,5,"코스피, 기관·外人 '팔자'…1950선 위협"
168,2014-01-17,5,"코스피, 중국발 악재+外人 '팔자'…1940선 후퇴"
169,2014-01-17,6,
170,2014-01-17,7,
171,2014-01-17,8,
172,2014-01-17,9,
173,2014-01-17,10,
174,2014-01-17,11,
175,2014-01-20,2,
176,2014-01-20,3,
177,2014-01-20,4,"기아차, VIP 초청 골프레슨"
178,2014-01-20,5,"""BOJ 변수 '주목'"" 이번주 증시 '체크포인트'는"
179,2014-01-20,5,"""中 훈풍"" 코스피 1950 전후 회복…IT·車↑"
180,2014-01-20,5,"'투자자 뒷짐' 코스피 약보합, 1940선 등락"
181,2014-01-20,6,
182,2014-01-20,7,
183,2014-01-20,8,
184,2014-01-20,9,
185,2014-01-20,10,
186,2014-01-20,11,"오츠카 제약, 2014 인천 AG 공식 후원 계약"
187,2014-01-21,2,
188,2014-01-21,3,
