2014-07-09,354000,357000,351000,353500,38557
2014-07-10,352500,356000,348000,350500,32171
2014-07-11,348000,353500,345000,347000,40353
2014-07-14,349500,364000,349500,358000,83386
2014-07-15,360000,360500,347500,348500,77759
2014-07-16,349000,349500,339500,344000,59936
2014-07-17,342000,343500,337500,340000,78853
2014-07-18,339500,344500,337500,342500,38650
2014-07-21,341000,341000,330000,332500,114022
2014-07-22,333000,334000,325000,330000,97003
2014-07-23,331000,334500,330000,334000,50261
2014-07-24,334000,336000,325500,328500,63736
2014-07-25,328500,345500,327500,343500,119717
2014-07-28,345000,345500,336000,341000,47196
2014-07-29,341500,341500,328500,330000,73742
2014-07-30,329500,335000,329500,331500,54678
2014-07-31,332500,334500,323500,333000,62679
2014-08-01,333000,347000,329500,339500,92667
2014-08-04,342000,344000,332500,338000,52972
2014-08-05,337000,343000,336000,341500,44082
2014-08-06,343000,352000,342500,347500,82857
2014-08-07,349000,350500,345000,345500,40322
2014-08-08,348500,353500,345500,346000,53918
2014-08-11,348500,350000,342500,345000,29083
2014-08-12,344500,349000,344000,345500,22472
2014-08-13,348500,364000,346000,364000,123124
2014-08-14,363500,368500,358000,364500,47943
2014-08-18,368000,370000,358500,360500,36160
2014-08-19,367500,367500,360500,365000,40506
2014-08-20,365000,376000,364500,371500,51033
2014-08-21,372500,378000,368500,373000,44385
2014-08-22,370500,378500,366500,372000,36287
2014-08-25,374500,376000,369000,373500,21074
2014-08-26,374000,388000,370500,383500,71078
2014-08-27,383500,390000,376500,384000,57037
2014-08-28,386000,396000,377500,381000,55103
2014-08-29,380000,381000,370000,378000,45460
2014-09-01,374500,379000,370500,375000,36004
2014-09-02,373000,378500,370000,375500,22437
2014-09-03,374000,388000,374000,384500,46591
2014-09-04,388500,399500,388000,398500,75612
2014-09-05,396500,400000,394000,394500,45640
2014-09-11,394500,399500,391000,392000,34714
2014-09-12,394000,398000,382000,384500,33358
2014-09-15,380000,390000,375500,387500,33683
2014-09-16,387500,393000,381000,386000,34567
2014-09-17,386000,398000,384000,398000,39514
2014-09-18,394000,399000,387500,398000,31786
2014-09-19,399000,402000,389000,390000,40793
2014-09-22,394000,395500,388000,395500,27254
2014-09-23,395500,404500,393000,396500,63343
2014-09-24,399000,404500,396500,398500,42992
2014-09-25,402000,402500,397500,399500,33795
2014-09-26,399500,400500,390500,394500,19865
2014-09-29,391000,394000,384000,389000,46699
2014-09-30,391500,395000,380500,387500,42518
2014-10-01,385500,387500,375000,378000,60800
2014-10-02,378000,386500,367500,384500,68597
2014-10-06,388500,390500,377000,381000,46336
2014-10-07,381000,383000,369000,380500,44576
2014-10-08,381000,391000,379500,383000,68627
2014-10-10,390000,392500,379000,385500,51065
2014-10-13,380000,388000,370000,375500,48005
2014-10-14,378500,378500,371000,373000,33852
2014-10-15,378000,389500,376000,384000,68724
2014-10-16,383000,407500,381500,394500,83085
2014-10-17,399000,401000,392000,394000,43008
2014-10-20,391000,399500,391000,398500,23361
2014-10-21,400000,407000,391500,406500,50151
2014-10-22,410000,419000,408000,416500,64373
2014-10-23,413500,418500,412500,413500,20187
2014-10-24,413000,415500,400500,407500,27630
2014-10-27,409000,414000,396500,399000,31040
2014-10-28,397000,406000,396500,402500,32579
2014-10-29,404000,409000,400000,402000,24629
2014-10-30,400500,404000,388500,403500,45876
2014-10-31,398000,400000,380500,391000,74531
2014-11-03,387000,396500,381000,382500,66357
2014-11-04,385000,388500,375000,376000,76368
2014-11-05,376500,392500,376000,388500,47288
2014-11-06,387000,388500,359000,373500,138085
2014-11-07,368000,370500,345500,353000,197692
2014-11-10,353000,357000,341000,346500,95680
2014-11-11,347500,356000,344000,346500,78258
2014-11-12,349500,355000,343500,348000,88627
2014-11-13,348500,361500,348000,360500,73875
2014-11-14,360500,360500,341000,345000,71788
2014-11-17,341000,344500,331500,341500,58661
2014-11-18,341500,354000,341000,348000,72732
2014-11-19,352500,355500,344000,347000,46780
2014-11-20,348000,349500,335000,339000,48606
2014-11-21,343000,346000,339000,346000,40795
2014-11-24,347000,350000,335500,339500,53009
2014-11-25,339000,344000,334500,343000,34742
2014-11-26,340500,351000,340500,346500,31277
2014-11-27,346000,348500,342500,347000,22735
2014-11-28,344500,353500,344500,353000,44132
2014-12-01,351000,355000,338000,343000,42005
2014-12-02,340000,344500,338500,344000,34288
2014-12-03,340000,345000,335500,344000,51603
2014-12-04,341500,344000,337000,339500,59485
2014-12-05,339500,341000,336500,339000,36221
2014-12-08,337000,339000,318500,322000,142527
2014-12-09,322000,333000,319500,325000,69360
2014-12-10,327500,330000,319500,325500,40644
2014-12-11,322000,327000,320000,320500,41915
2014-12-12,322500,324000,306500,313000,76719
2014-12-15,310000,324000,307000,322000,39955
2014-12-16,322000,322500,314500,320500,40107
2014-12-17,320500,327000,317500,321000,44412
2014-12-18,322500,327500,319000,324500,33226
2014-12-19,327000,329500,319000,321000,37977
2014-12-22,320000,321000,312000,315000,40202
2014-12-23,316000,316000,313000,314500,21353
2014-12-24,314000,316000,310000,312500,31252
2014-12-26,310500,319500,310500,317000,37327
2014-12-29,315500,315500,312000,313000,22228
2014-12-30,312000,314000,302000,306500,45650
2015-01-02,305000,309000,300500,303000,38894
2015-01-05,302500,318500,301000,315500,59258
2015-01-06,313500,327000,311000,321000,75625
2015-01-07,322500,323000,312500,320000,44558
2015-01-08,316000,325500,314000,323000,57174
2015-01-09,324000,337500,320500,331500,77422
2015-01-12,332000,343500,331500,335500,64694
2015-01-13,335000,342000,333000,336000,40966
2015-01-14,337000,343500,332500,336500,62417
2015-01-15,335000,351500,335000,347000,83215
2015-01-16,343500,351000,341000,343000,41227
2015-01-19,346500,346500,339000,342000,27004
2015-01-20,342500,358000,340500,351000,60063
2015-01-21,357500,359500,351500,354000,53737
2015-01-22,356000,357500,350000,357500,43968
2015-01-23,354000,360000,350000,358000,45443
2015-01-26,354500,363000,351000,357000,30618
2015-01-27,362000,363000,353000,363000,40541
2015-01-28,360500,363000,355000,357000,46869
2015-01-29,356000,361000,351000,353500,41938
2015-01-30,351500,357500,346500,352000,53598
2015-02-02,349000,354500,349000,354000,26605
2015-02-03,351500,363000,351500,359500,57600
2015-02-04,359500,375500,354500,369500,113343
2015-02-05,367000,374000,361000,371500,59096
2015-02-06,371500,386000,370500,373500,68443
2015-02-09,376000,385000,373000,381000,70598
2015-02-10,384500,384500,370500,375000,48805
2015-02-11,378000,383500,370500,372500,36216
2015-02-12,369500,374000,363000,364000,36052
2015-02-13,365000,369000,362500,367000,32891
2015-02-16,364000,366500,355000,357500,47188
2015-02-17,359000,365500,358000,360000,25664
2015-02-23,357500,363500,355000,358000,30425
2015-02-24,354500,357000,353000,355000,34969
2015-02-25,357000,368500,356500,363000,32602
2015-02-26,360500,362500,347000,349500,62116
2015-02-27,350000,358500,348000,357500,40602
2015-03-02,357500,358500,351000,351000,36135
2015-03-03,350000,351000,345000,348000,36842
2015-03-04,351500,352000,347000,349500,37820
2015-03-05,347500,348500,340500,346500,82067
2015-03-06,347000,351000,343500,345000,28299
2015-03-09,342000,346500,335500,339500,41213
2015-03-10,341500,343000,333000,334000,43250
2015-03-11,330500,333000,321500,321500,71600
2015-03-12,324000,337000,321500,331000,66971
2015-03-13,335500,338500,331500,332500,25130
2015-03-16,328000,348000,328000,343500,68873
2015-03-17,346500,347000,339000,345000,45928
2015-03-18,346500,362500,342500,358500,100562
2015-03-19,364000,370000,360500,369000,61805
2015-03-20,364000,373000,362500,366500,44057
2015-03-23,365500,367000,356000,360500,30575
2015-03-24,358000,378000,357500,372500,59049
2015-03-25,376000,393000,373500,389000,89813
2015-03-26,388500,392000,373500,389500,81301
2015-03-27,389500,390500,382500,385000,29780
2015-03-30,383000,392000,383000,386500,29631
2015-03-31,386500,389500,375000,378000,54663
2015-04-01,375500,383500,372000,372000,42223
2015-04-02,373500,388500,373500,387000,56599
2015-04-03,390000,398000,388000,391000,31151
2015-04-06,395000,399000,390500,391500,27418
2015-04-07,391500,395000,389500,394500,27672
2015-04-08,390000,393000,382000,388500,40681
2015-04-09,385500,391000,383000,383500,21527
2015-04-10,384000,392500,383500,392500,35379
2015-04-13,392000,393000,381500,383000,49765
2015-04-14,383000,387000,379500,384000,41566
2015-04-15,384500,407500,384000,396500,119227
2015-04-16,401000,415500,398500,402000,75015
2015-04-17,403000,420000,402000,408500,72621
2015-04-20,407500,423000,405000,414500,86393
2015-04-21,413000,418500,412000,416500,40706
2015-04-22,413000,414500,403500,410000,58364
2015-04-23,406500,420000,400500,419500,51885
2015-04-24,417000,430000,401000,407000,61989
2015-04-27,411500,416000,407500,415000,35900
2015-04-28,416000,418000,408000,409000,26485
2015-04-29,412500,415000,403000,408500,27655
2015-04-30,406000,425000,406000,418500,69254
2015-05-04,418500,427500,414000,421000,35022
2015-05-06,418000,426000,413000,421500,31190
2015-05-07,418000,434000,405000,419000,77887
2015-05-08,422000,445500,418500,443500,110004
2015-05-11,445000,469500,444500,455500,64280
2015-05-12,452000,457000,445000,451500,37810
2015-05-13,449500,456500,446000,450500,30609
2015-05-14,453000,454000,440500,447000,41340
2015-05-15,449000,451000,440000,443500,33971
2015-05-18,443500,450500,440000,447000,37232
2015-05-19,448000,455000,443500,445000,44781
2015-05-20,445000,453000,444000,447500,43723
2015-05-21,448000,460500,446000,458500,47131
2015-05-22,461500,464000,436000,444500,80727
2015-05-26,445000,445500,420000,425500,92660
2015-05-27,421000,424500,407500,424500,81908
2015-05-28,420000,426500,418500,418500,32993
2015-05-29,415000,423000,410000,410000,56305
2015-06-01,412500,421500,404000,420500,49794
2015-06-02,421000,423500,400500,404000,77343
2015-06-03,404000,409500,399500,406000,52018
2015-06-04,398500,402000,390500,395500,71777
2015-06-05,392000,404000,392000,402000,43194
2015-06-08,403000,405000,395000,403000,36426
2015-06-09,399000,415500,399000,408500,48003
2015-06-10,414000,414000,395500,398000,61087
2015-06-11,402000,402500,392000,395500,36391
2015-06-12,397500,406500,394500,401500,52707
2015-06-15,401500,405000,396500,404000,51160
2015-06-16,404000,405000,394000,402000,56857
2015-06-17,402000,412000,397000,412000,66576
2015-06-18,412000,422000,408000,421000,58144
2015-06-19,423500,430500,421000,425000,73717
2015-06-22,428000,430500,416500,420500,53660
2015-06-23,420500,428000,419000,426000,32132
2015-06-24,425500,430000,413500,417000,52166
2015-06-25,415500,444000,414500,441000,75101
2015-06-26,441000,445500,432000,443500,46226
2015-06-29,435000,439500,431000,433000,43508
2015-06-30,433000,441500,426000,441000,44495
2015-07-01,441000,441000,403000,406500,214977
2015-07-02,411500,417500,406500,416000,96992
2015-07-03,415500,416000,405000,405500,45286
2015-07-06,402000,410000,395500,395500,46492
2015-07-07,398000,406500,392500,396500,45974
2015-07-08,397500,404000,394000,402500,53376
2015-07-09,402500,405000,391000,399500,44430
2015-07-10,403500,410500,403000,410500,29306
2015-07-13,406000,415000,406000,413000,27335
2015-07-14,415000,436000,413500,434000,67069
2015-07-15,436500,445000,435000,441000,68538
2015-07-16,443000,444000,436000,439000,33681
2015-07-17,439000,444500,430000,430000,34701
2015-07-20,429000,441000,429000,440000,26363
2015-07-21,438500,443000,427000,436500,38894
2015-07-22,432000,436000,426500,432000,32444
2015-07-23,436000,436500,423500,430000,51449
2015-07-24,433500,433500,422000,431500,32725
2015-07-27,425000,427500,414000,420500,55488
2015-07-28,414000,423500,407000,417500,42161
2015-07-29,412500,417500,411000,416500,33356
2015-07-30,418000,421000,406000,409000,55479
2015-07-31,409500,413500,401000,411000,45165
2015-08-03,410000,419500,409500,414000,30278
2015-08-04,418500,419500,396500,400000,103216
2015-08-05,402000,415000,400500,410000,72217
2015-08-06,413500,433000,413500,420000,82622
2015-08-07,422000,435500,416500,432500,68050
2015-08-10,435000,452500,433000,446500,72640
2015-08-11,450000,456500,425500,429500,83329
2015-08-12,420000,426000,387000,403000,146821
2015-08-13,403500,415500,400000,410000,55921
2015-08-17,412000,414000,406000,411500,38120
2015-08-18,410000,413500,395000,399500,57531
2015-08-19,398000,398000,372000,391500,67143
2015-08-20,384000,395000,381500,390500,52556
2015-08-21,378000,394500,375000,391000,50984
2015-08-24,391000,391000,372000,375000,57652
2015-08-25,379500,380000,363000,372000,54524
2015-08-26,370000,393500,370000,390000,52989
2015-08-27,387000,405500,382500,393000,70999
2015-08-28,401500,402500,390500,398500,46168
2015-08-31,396000,402000,391500,393000,38537
2015-09-01,389500,394500,385000,386500,26386
2015-09-02,378500,392000,378500,387000,23458
2015-09-03,388500,392500,380000,382000,25063
2015-09-04,375000,385000,360500,372000,59645
2015-09-07,373000,373000,363500,363500,28181
2015-09-08,365000,369000,355000,362000,36124
2015-09-09,365500,384500,365500,376000,64356
2015-09-10,373000,382000,370500,382000,30392
2015-09-11,377000,378000,373500,376000,19696
2015-09-14,376500,380000,367500,373500,23791
2015-09-15,373000,373000,366500,371500,20136
2015-09-16,373500,378500,371500,375500,27519
2015-09-17,380000,381000,372000,377000,32319
2015-09-18,378000,399000,378000,393500,98376
2015-09-21,391000,391500,380000,384500,30023
2015-09-22,385000,389000,383000,386000,24606
2015-09-23,381500,382500,371000,372000,47521
2015-09-24,375500,381000,370000,375500,27586
2015-09-25,376000,376000,366500,371500,24260
2015-09-30,362000,380500,361500,380500,37007
2015-10-01,374500,386000,372500,384000,25631
2015-10-02,384000,386500,371000,374000,32576
2015-10-05,376500,393000,375000,391500,50582
2015-10-06,395000,406500,394000,404000,69467
2015-10-07,401000,403000,384500,386500,48779
2015-10-08,389500,390000,379000,385000,45400
2015-10-12,383500,392500,378500,391500,47522
2015-10-13,393000,395500,386500,394000,37463
2015-10-14,394000,394000,379000,381000,58241
2015-10-15,379500,382000,375500,376000,49159
2015-10-16,379000,385500,377000,384000,44029
2015-10-19,384000,385000,379000,383500,26850
2015-10-20,381000,381500,370500,374500,70281
