,Date,Close,RateofChange,Label,Unnamed: 0.1,Title,Category
0,2014-01-02,270000,0.0,-1.0,687,'회사채 1번 타자' 이마트…올 채권시장 흥행 가늠자,5.0
1,2014-01-03,258000,-0.044444444444444446,-1.0,686,1월 둘째주 3500억원 규모 회사채 발행,5.0
2,2014-01-06,258500,0.001937984496124031,1.0,563,"이마트, 초등생 수학 참고서 반값 판매",4.0
3,2014-01-06,258500,0.001937984496124031,1.0,564,"더맥키스컴퍼니, '깻잎담은 맥키스' 출시",4.0
4,2014-01-06,258500,0.001937984496124031,1.0,565,설 선물세트 '프리미엄 vs 실속형' 양극화 전망,4.0
5,2014-01-06,258500,0.001937984496124031,1.0,85,통행세로 총수 배불린 삼양식품…과징금 26억,3.0
6,2014-01-06,258500,0.001937984496124031,1.0,685,[주간채권]기지개 켜는 크레딧 시장,5.0
7,2014-01-07,268500,0.03868471953578337,1.0,684,"모건스탠리 ""韓전자상거래 급속 성장""..관련주 주목",5.0
8,2014-01-07,268500,0.03868471953578337,1.0,547,"신세계, 10년간 31조 투자..17만명 고용",4.0
9,2014-01-08,267500,-0.0037243947858473,-1.0,545,"""올해 인기 가전 키워드는 '4S'""",4.0
10,2014-01-08,267500,-0.0037243947858473,-1.0,997,"설 선물, 신세계상품권으로 준비하세요!",8.0
11,2014-01-08,267500,-0.0037243947858473,-1.0,546,이마트 '레드향' 9900원에 판매,4.0
12,2014-01-09,269000,0.005607476635514018,1.0,683,"[특징주]롯데하이마트, 4Q 실적부진 우려 속 ↓",5.0
13,2014-01-09,269000,0.005607476635514018,1.0,543,알뜰폰 248만명 돌파…우체국·대형마트 덕에 高성장,4.0
14,2014-01-09,269000,0.005607476635514018,1.0,559,"이마트, 엔저 가속화에 '눈다랑어' 반값 판매",4.0
15,2014-01-09,269000,0.005607476635514018,1.0,84,"현대카드, 1월 설 맞이 이벤트 진행",3.0
16,2014-01-09,269000,0.005607476635514018,1.0,83,"유엔알컨설팅, 새해 부동산투자전략 세미나 개최",3.0
17,2014-01-10,256000,-0.048327137546468404,-1.0,82,"외환은행, '외환카드와 함께하는 행복한 설날' 이벤트 실시",3.0
18,2014-01-10,256000,-0.048327137546468404,-1.0,682,"KTB證, 이마트 총 3000억 회사채 발행 대표주관",5.0
19,2014-01-10,256000,-0.048327137546468404,-1.0,681,회사채 시장 지난해완 다르다? 연초 연달아 흥행,5.0
20,2014-01-13,258500,0.009765625,1.0,554,신년효과? 건강용품 매출 늘고 담배 소비는 줄어,4.0
21,2014-01-13,258500,0.009765625,1.0,994,경기도 유통매장 먹거리 '부적합률' 0.1%로 양호,8.0
22,2014-01-13,258500,0.009765625,1.0,555,백화점 '설 대목 잡기' 전쟁…13일부터 선물세트 본판매,4.0
23,2014-01-13,258500,0.009765625,1.0,557,"이마트몰, 90년대 인기 의류브랜드 모음전",4.0
24,2014-01-13,258500,0.009765625,1.0,556,"유통가, '루지·컬링' 등 스포츠마케팅 강화",4.0
25,2014-01-13,258500,0.009765625,1.0,995,"이마트, 은평구 희망스포츠클럽 후원금 1340만원 지원",8.0
26,2014-01-14,261000,0.009671179883945842,1.0,551,"코리아더커드, '다향오리 설 선물세트' 출시",4.0
